City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
36,kaeo,-35.1,173.7833,25.18,70,59,2.55,NZ,1675811425
37,caravelas,-17.7125,-39.2481,25.58,82,1,3.83,BR,1675811426
38,tuatapere,-46.1333,167.6833,12.54,63,66,6.63,NZ,1675811426
39,bengkulu,-3.8004,102.2655,23.56,82,93,2.45,ID,1675811427
40,qaanaaq,77.484,-69.3632,-31.22,65,89,2.35,GL,1675811428
41,roma,43.2128,-75.4557,5.46,79,100,4.63,US,1675811429
42,lompoc,34.6391,-120.4579,21.5,58,5,3.58,US,1675811430
43,punta arenas,-53.15,-70.9167,16.06,63,40,4.63,CL,1675811430
44,tortosa,40.8125,0.5216,7.36,93,100,7.17,ES,1675811431
45,porto velho,-8.7619,-63.9039,25.03,94,75,1.03,BR,1675811441
46,ushuaia,-54.8,-68.3,11.82,69,75,1.33,AR,1675811442
47,hermanus,-34.4187,19.2345,21.0,80,50,5.51,ZA,1675811448
48,cape town,-33.9258,18.4232,21.32,73,24,6.26,ZA,1675811450
49,romilly-sur-seine,48.5108,3.7263,0.66,67,23,3.12,FR,1675811451
50,bluff,-46.6,168.3333,8.78,69,77,11.77,NZ,1675811451
51,road town,18.4167,-64.6167,25.05,88,40,4.63,VG,1675811284
52,camara de lobos,32.6333,-16.9667,15.56,77,75,3.09,PT,1675811452
53,kodiak,57.79,-152.4072,-1.27,51,0,6.69,US,1675811452
54,beloha,-25.1667,45.05,22.96,85,100,2.32,MG,1675811275
55,srednekolymsk,67.45,153.6833,-35.32,99,100,2.45,RU,1675811452
56,shenjiamen,29.9576,122.298,8.77,76,100,5.43,CN,1675811453
57,kirkwall,58.9848,-2.9587,4.03,70,18,6.17,GB,1675811453
58,seoul,37.5683,126.9778,-3.31,93,0,0.51,KR,1675811177
59,san vicente,-26.6167,-54.1333,25.0,37,22,1.16,AR,1675811454
